tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
liv,2023,2023,2023-02-26,Mayakoba,9,"Puig Currius, David",28984,T38,3,El Camaleón Golf Course at Mayakoba,1,71,,,75,,,,,,-4.083,312.0,0.571,0.611,,,,,,0.0,1.0,12.0,5.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Reed, Patrick",14838,T38,1,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-0.333,317.0,0.5,0.833,,,,,,1.0,1.0,13.0,2.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Reed, Patrick",14838,T38,2,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-1.0,311.0,0.571,0.611,,,,,,0.0,4.0,11.0,1.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Oosthuizen, Louis",7672,T41,3,El Camaleón Golf Course at Mayakoba,1,71,,,76,,,,,,-5.083,268.5,0.429,0.389,,,,,,0.0,2.0,12.0,2.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Reed, Patrick",14838,T38,3,El Camaleón Golf Course at Mayakoba,1,71,,,74,,,,,,-3.083,311.0,0.5,0.556,,,,,,0.0,2.0,13.0,2.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Watson, Bubba",7334,40,2,El Camaleón Golf Course at Mayakoba,1,71,,,76,,,,,,-5.0,319.0,0.714,0.5,,,,,,0.0,1.0,12.0,4.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Watson, Bubba",7334,40,3,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,-0.083,334.5,0.429,0.778,,,,,,0.0,3.0,13.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Westwood, Lee",4052,T41,1,El Camaleón Golf Course at Mayakoba,1,71,,,76,,,,,,-4.333,303.0,0.429,0.611,,,,,,0.0,3.0,8.0,6.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Westwood, Lee",4052,T41,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,312.5,0.643,0.722,,,,,,0.0,4.0,10.0,4.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Westwood, Lee",4052,T41,3,El Camaleón Golf Course at Mayakoba,1,71,,,74,,,,,,-3.083,308.0,0.5,0.556,,,,,,0.0,2.0,12.0,3.0,1.0
