username,event_name,event_date,event_id,pick_player_name,dg_id,method,matched_to_odds_name,score
balvari,The American Express,2026-01-22,2.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
bpark88,Sony Open in Hawaii,2026-01-15,6.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
bpark88,The American Express,2026-01-22,2.0,Harry Hall,27194.0,direct_ff,Harry Hall,1.0
halliam1114,Sony Open in Hawaii,2026-01-15,6.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
halliam1114,The American Express,2026-01-22,2.0,Kurt Kitayama,21891.0,direct_ff,Kurt Kitayama,1.0
jonescurtisw,Sony Open in Hawaii,2026-01-15,6.0,Hideki Matsuyama,13562.0,direct_ff,Hideki Matsuyama,1.0
jonescurtisw,The American Express,2026-01-22,2.0,Patrick Cantlay,15466.0,direct_ff,Patrick Cantlay,1.0
jtsalvetti,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
jtsalvetti,The American Express,2026-01-22,2.0,Patrick Cantlay,15466.0,direct_ff,Patrick Cantlay,1.0
kotsko,Sony Open in Hawaii,2026-01-15,6.0,Keegan Bradley,13872.0,direct_ff,Keegan Bradley,1.0
kotsko,The American Express,2026-01-22,2.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
linkcalhoun,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
linkcalhoun,The American Express,2026-01-22,2.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
newcastle21,Sony Open in Hawaii,2026-01-15,6.0,Chris Kirk,12423.0,direct_ff,Chris Kirk,1.0
newcastle21,The American Express,2026-01-22,2.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
one007,Sony Open in Hawaii,2026-01-15,6.0,Jake Knapp,19396.0,direct_ff,Jake Knapp,1.0
one007,The American Express,2026-01-22,2.0,Max Greyserman,23465.0,direct_ff,Max Greyserman,1.0
pbyrne11,Sony Open in Hawaii,2026-01-15,6.0,Aaron Rai,18554.0,direct_ff,Aaron Rai,1.0
pbyrne11,The American Express,2026-01-22,2.0,Harry Hall,27194.0,direct_ff,Harry Hall,1.0
picksixer360,Sony Open in Hawaii,2026-01-15,6.0,J.J. Spaun,17536.0,direct_ff,J.J. Spaun,1.0
picksixer360,The American Express,2026-01-22,2.0,Daniel Berger,17606.0,direct_ff,Daniel Berger,1.0
talktob,Sony Open in Hawaii,2026-01-15,6.0,Maverick McNealy,18634.0,direct_ff,Maverick McNealy,1.0
talktob,The American Express,2026-01-22,2.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
tice0101,Sony Open in Hawaii,2026-01-15,6.0,J.J. Spaun,17536.0,direct_ff,J.J. Spaun,1.0
tice0101,The American Express,2026-01-22,2.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
