USER,TOURNAMENT,PICK,EARNINGS
norips (1),Masters Tournament,P. Reed,475000
norips (1),Valero Texas Open,R. MacIntyre,741533
norips (1),Texas Children's Houston Open,M. Woo Lee,584100
norips (1),Valspar Championship,J. Bridgeman,161525
ojlimpsin (3),The Players Championship,R. Henley,454476
ojlimpsin (3),Arnold Palmer Invitational presented by Mastercard,S. Lowry,-50000
ojlimpsin (3),Cognizant Classic,N. Hojgaard,324000
ojlimpsin (3),The Genesis Invitational,S. Woo Kim,109000
ojlimpsin (3),AT&T Pebble Beach Pro-Am,X. Schauffele,235000
ojlimpsin (3),WM Phoenix Open,C. Gotterup,1728000
ojlimpsin (3),Masters Tournament,S. Scheffler,2700000
ojlimpsin (3),Valero Texas Open,J. Spieth,21364
ojlimpsin (3),Texas Children's Houston Open,R. Fowler,-50000
ojlimpsin (3),Valspar Championship,R. Hisatsune,51142
ojlimpsin (5),The Players Championship,M. Fitzpatrick,3027778
ojlimpsin (5),Arnold Palmer Invitational presented by Mastercard,R. McIlroy,0
ojlimpsin (5),Cognizant Classic,R. Neergaard-Petersen,31776
ojlimpsin (5),The Genesis Invitational,X. Schauffele,603200
ojlimpsin (5),AT&T Pebble Beach Pro-Am,J. Knapp,515000
ojlimpsin (5),WM Phoenix Open,J. Spieth,-50000
ojlimpsin (5),Masters Tournament,J. Rahm,112500
ojlimpsin (5),Valero Texas Open,L. Aberg,378525
ojlimpsin (5),Texas Children's Houston Open,C. Gotterup,322988
ojlimpsin (5),Valspar Championship,V. Hovland,-50000
ParFiveCollective (1),The Players Championship,C. Morikawa,0
ParFiveCollective (1),Arnold Palmer Invitational presented by Mastercard,M. Fitzpatrick,78000
ParFiveCollective (1),Cognizant Classic,S. Lowry,726400
ParFiveCollective (1),The Genesis Invitational,X. Schauffele,603200
ParFiveCollective (1),AT&T Pebble Beach Pro-Am,J. Rose,78375
ParFiveCollective (1),WM Phoenix Open,C. Gotterup,1728000
ParFiveCollective (1),Masters Tournament,L. Aberg,280000
ParFiveCollective (1),Valero Texas Open,S. Woo Kim,237650
ParFiveCollective (1),Texas Children's Houston Open,N. Hojgaard,1079100
ParFiveCollective (1),Valspar Championship,J. Thomas,51142
presswhenyourpissed (1),The Players Championship,T. Fleetwood,812500
presswhenyourpissed (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
presswhenyourpissed (1),Cognizant Classic,N. Hojgaard,324000
presswhenyourpissed (1),The Genesis Invitational,M. Fitzpatrick,178250
presswhenyourpissed (1),AT&T Pebble Beach Pro-Am,S. Woo Kim,57000
presswhenyourpissed (1),WM Phoenix Open,H. Matsuyama,1046400
presswhenyourpissed (1),Masters Tournament,S. Scheffler,2700000
presswhenyourpissed (1),Valero Texas Open,J. Spieth,21364
presswhenyourpissed (1),Texas Children's Houston Open,K. Kitayama,21879
presswhenyourpissed (1),Valspar Championship,J. Thomas,51142
princetonians (1),The Players Championship,M. Woo Lee,142500
princetonians (1),Arnold Palmer Invitational presented by Mastercard,T. Fleetwood,56000
princetonians (1),Cognizant Classic,S. Lowry,726400
princetonians (1),The Genesis Invitational,P. Cantlay,92250
princetonians (1),AT&T Pebble Beach Pro-Am,J. Rose,78375
princetonians (1),WM Phoenix Open,S. Theegala,122720
princetonians (1),Masters Tournament,S. Scheffler,2700000
princetonians (1),Valero Texas Open,R. Hisatsune,296450
princetonians (1),Texas Children's Houston Open,W. Clark,-50000
princetonians (1),Valspar Championship,J. Spieth,211575
rickrungood (1),The Players Championship,L. Aberg,1027778
rickrungood (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
rickrungood (1),Cognizant Classic,R. Gerard,77600
rickrungood (1),The Genesis Invitational,S. Scheffler,415000
rickrungood (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
rickrungood (1),WM Phoenix Open,M. McNealy,188000
rickrungood (1),Masters Tournament,C. Young,1200000
rickrungood (1),Valero Texas Open,S. Straka,-50000
rickrungood (1),Texas Children's Houston Open,C. Gotterup,322988
rickrungood (1),Valspar Championship,B. Koepka,108290
rochman77 (1),The Players Championship,J. Knapp,-55556
rochman77 (1),Arnold Palmer Invitational presented by Mastercard,P. Coody,-50000
rochman77 (1),Cognizant Classic,M. McGreevy,31776
rochman77 (1),The Genesis Invitational,H. English,224500
rochman77 (1),AT&T Pebble Beach Pro-Am,P. Cantlay,342750
rochman77 (1),WM Phoenix Open,X. Schauffele,34080
rochman77 (1),Masters Tournament,R. McIlroy,5000000
rochman77 (1),Valero Texas Open,J. Spieth,21364
rochman77 (1),Texas Children's Houston Open,B. Koepka,-50000
rochman77 (1),Valspar Championship,M. Fitzpatrick,1638000
ryanhojo22 (3),The Players Championship,S. Woo Kim,67870
ryanhojo22 (3),Arnold Palmer Invitational presented by Mastercard,M. Fitzpatrick,78000
ryanhojo22 (3),Cognizant Classic,S. Lowry,726400
ryanhojo22 (3),The Genesis Invitational,T. Fleetwood,603200
ryanhojo22 (3),AT&T Pebble Beach Pro-Am,S. Scheffler,877500
ryanhojo22 (3),WM Phoenix Open,H. Matsuyama,1046400
ryanhojo22 (3),Masters Tournament,J. Rahm,112500
ryanhojo22 (3),Valero Texas Open,R. MacIntyre,741533
ryanhojo22 (3),Texas Children's Houston Open,B. Koepka,-50000
ryanhojo22 (3),Valspar Championship,C. Conners,161525
scott_c_434 (1),The Players Championship,S. Woo Kim,67870
scott_c_434 (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
scott_c_434 (1),Cognizant Classic,N. Hojgaard,324000
scott_c_434 (1),The Genesis Invitational,R. McIlroy,1800000
scott_c_434 (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
scott_c_434 (1),WM Phoenix Open,J. Knapp,300000
scott_c_434 (1),Masters Tournament,C. Young,1200000
scott_c_434 (1),Valero Texas Open,S. Straka,-50000
scott_c_434 (1),Texas Children's Houston Open,T. Finau,41085
scott_c_434 (1),Valspar Championship,C. Conners,161525
Seanpins (1),The Players Championship,R. MacIntyre,1361111
Seanpins (1),Arnold Palmer Invitational presented by Mastercard,R. Henley,702000
Seanpins (1),Cognizant Classic,S. Lowry,726400
Seanpins (1),The Genesis Invitational,J. Knapp,760000
